FullName,ClubName,AgeGroup,Position,FIFARating,MinutesPlayed,GAContribution,FantasyScore,MarketValue,TransferStatus
Erling Haaland,Manchester City,21 and under,Forward,88,2767,45,7.8,180000000,Retained
Bukayo Saka,Arsenal,21 and under,Midfielder,82,3183,26,5.3,120000000,Retained
Declan Rice,West Ham United,22-25,Midfielder,84,3272,7,3.1,110000000,Transferred
Mohamed Salah,Liverpool,30 and above,Forward,90,3290,32,6.3,110000000,Retained
Phil Foden,Manchester City,22-25,Midfielder,85,1832,18,4.4,110000000,Retained
Jadon Sancho,Manchester United,22-25,Midfielder,84,1683,9,4,100000000,Transferred
Jack Grealish,Manchester City,26-29,Forward,84,2051,15,4.3,100000000,Retained
Kevin De Bruyne,Manchester City,30 and above,Midfielder,91,2413,25,5.7,100000000,Retained
Raheem Sterling,Chelsea,26-29,Forward,86,1886,10,3.6,100000000,Retained
Trent Alexander-Arnold,Liverpool,22-25,Midfielder,87,2922,13,4.2,100000000,Retained
Moisés Caicedo,Brighton & Hove Albion,21 and under,Midfielder,70,3138,2,2.1,90000000,Transferred
Martin Ødegaard,Arsenal,22-25,Midfielder,84,3132,23,5.7,90000000,Retained
Harry Kane,Tottenham Hotspur,26-29,Forward,89,3406,39,6.9,90000000,Transferred
Heung Min Son,Tottenham Hotspur,26-29,Forward,89,2886,16,4.2,85000000,Retained
Marcus Rashford,Manchester United,22-25,Forward,81,2880,24,5.9,85000000,Retained
Bernardo Mota Carvalho e Silva,Manchester City,26-29,Midfielder,88,2196,10,3.1,80000000,Retained
Rben Santos Gato Alves Dias,Manchester City,22-25,Defender,88,1997,0,3.1,80000000,Retained
Mason Mount,Chelsea,22-25,Midfielder,84,1644,7,3.4,75000000,Transferred
Bruno Miguel Borges Fernandes,Manchester United,26-29,Midfielder,86,3317,17,4.8,75000000,Retained
Gabriel Fernando de Jesus,Arsenal,22-25,Forward,83,2064,18,4.8,75000000,Retained
Luis Daz,Liverpool,22-25,Midfielder,84,991,6,3.6,75000000,Retained
William Saliba,Arsenal,21 and under,Defender,80,2415,3,4.3,75000000,Retained
Darwin Núñez,Liverpool,22-25,Forward,82,1684,14,3.4,70000000,Retained
João Pedro Cavaco Cancelo,Manchester City,26-29,Defender,88,1273,4,4.3,70000000,Retained
Raphaël Varane,Manchester United,26-29,Defender,84,1912,0,3.2,70000000,Retained
James Maddison,Leicester City,22-25,Midfielder,82,2479,19,4.5,70000000,Transferred
Kai Havertz,Chelsea,22-25,Midfielder,84,2565,8,2.9,70000000,Transferred
Alexander Isak,Newcastle United,22-25,Forward,80,1520,12,4.5,70000000,Retained
Andrew Robertson,Liverpool,26-29,Defender,87,2579,8,3.6,70000000,Retained
Carlos Henrique Venancio Casimiro,Manchester United,30 and above,Midfielder,89,2122,7,3.1,70000000,Retained
Gabriel Teodoro Martinelli Silva,Arsenal,21 and under,Midfielder,78,2789,24,5.5,70000000,Retained
Reece James,Chelsea,22-25,Defender,84,1242,3,2.8,70000000,Retained
Virgil van Dijk,Liverpool,30 and above,Defender,90,2835,4,4,70000000,Retained
Alexis Mac Allister,Brighton & Hove Albion,22-25,Midfielder,76,2882,12,4,65000000,Transferred
Alisson Ramses Becker,Liverpool,26-29,Goalkeeper,89,3330,1,4.4,65000000,Retained
Cristian Romero,Tottenham Hotspur,22-25,Defender,83,2363,2,2.4,65000000,Retained
Evan Ferguson,Brighton & Hove Albion,21 and under,Forward,59,942,8,3.4,65000000,Retained
Wesley Fofana,Chelsea,21 and under,Defender,79,1362,1,2.2,65000000,Retained
Bruno Guimarães Moura,Newcastle United,22-25,Midfielder,81,2727,9,3.3,60000000,Retained
Ollie Watkins,Aston Villa,26-29,Forward,78,3129,23,4.7,60000000,Retained
Wilfred Ndidi,Leicester City,22-25,Defender,84,1672,0,1.5,60000000,Retained
Ederson Santana de Moraes,Manchester City,26-29,Goalkeeper,89,3150,1,3.5,56000000,Retained
N'Golo Kanté,Chelsea,30 and above,Midfielder,89,517,1,2.6,55000000,Retained
Dejan Kulusevski,Tottenham Hotspur,22-25,Midfielder,81,2062,9,3.2,55000000,Transferred
Levi Colwill,Brighton & Hove Albion,21 and under,Defender,70,1218,2,2.7,55000000,Transferred
Youri Tielemans,Leicester City,22-25,Midfielder,84,2341,6,2.8,55000000,Transferred
Marc Cucurella Saseta,Chelsea,22-25,Defender,81,1669,2,2.7,55000000,Retained
Richarlison de Andrade,Tottenham Hotspur,22-25,Forward,81,995,6,2,55000000,Retained
Gabriel dos Santos Magalhães,Arsenal,22-25,Defender,81,3409,3,3.8,50000000,Retained
Julián Álvarez,Manchester City,22-25,Midfielder,78,1448,12,3.3,50000000,Retained
Aymeric Laporte,Manchester City,26-29,Defender,86,992,0,3.3,50000000,Transferred
Amadou Onana,Everton,21 and under,Midfielder,74,2486,4,2.3,50000000,Retained
Kalvin Phillips,Manchester City,26-29,Midfielder,81,291,0,1.2,50000000,Transferred
Anthony Gordon,Everton,21 and under,Midfielder,75,1574,4,2.1,50000000,Retained
Antony Matheus dos Santos,Manchester United,22-25,Midfielder,82,1803,6,3.3,50000000,Retained
Ben Chilwell,Chelsea,22-25,Defender,82,1402,5,3,50000000,Retained
Benjamin White,Arsenal,22-25,Midfielder,79,3054,7,4.1,50000000,Retained
C. Ronaldo dos Santos Aveiro,Manchester United,30 and above,Forward,90,519,1,2,50000000,Retained
Harry Maguire,Manchester United,26-29,Defender,81,762,0,2.4,50000000,Retained
Ivan Toney,Brentford,26-29,Forward,77,2953,24,5.5,50000000,Retained
Jarrod Bowen,West Ham United,22-25,Midfielder,80,3232,15,3.8,50000000,Retained
Kalidou Koulibaly,Chelsea,30 and above,Defender,87,1798,3,3.2,50000000,Retained
